,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Block Name,Block ID,Version Added,Order Added,Creative Only,OP Only,Commands Only,Renewable,Infinitely Automatically Farmable,,Has an Item Form,,Block Entity,Mob Spawnable On,Mob Spawnable Inside,Warden Spawnable On,Spider Spawnable Under,Light Level,Blast Resistance,Hardness,Mining Tool,Mining Level Required,Can Drop Itself,,,Insta-Mineable In Survival,Can be Waterlogged,Gets Flushed,Has Collision,Can Have a Full Block Collision,Has a Mining Hitbox,Can Have a Full Block Mining Hitbox,Can be Immovable,Disappears when Pushed,Transmits Redstone,Launches Minecart,Can Suffocate,Obeys Gravity,Requires Support Block to Place,Requires Support Block to Exist,Flammable,Catches Fire from Lava,Transparent,Filters Sky Light,Beacon can Bypass,Chest Openable Under,Tramples Farmland,Causes Damage,Fall Damage Amplification,Note Block Sound,Opens a GUI,GUI Stores Items,Rotation Availability,Can Change Block State,
,,,,,,,,,Any Method,Player Interactions Required,Identical ID,By Pick Block,,,,,,,,,,,Incorrect Tool,Correct Tool,Silk Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,,,,,13/1168,11/1168,1/1168,1072/1168,988/1168,827/1168,1015/1168,1155/1168,200/1168,508/1168,391/1168,582/1168,609/1168,,,,,,595/1168,955/1168,1096/1168,576/1168,413/1168,190/1168,924/1168,498/1168,1161/1168,514/1168,158/1168,353/1168,446/1168,446/1168,464/1168,27/1168,347/1168,343/1168,204/1168,337/1168,795/1168,43/1168,795/1168,801/1168,915/1168,12/1168,,,103/1168,37/1168,,777/1168,0
,Air,air,Pre-Classic Cave Game Tech Test,1,FALSE,FALSE,FALSE,Yes,Yes,FALSE,TRUE,FALSE,FALSE,No,Yes,No,TRUE,0,0,0,None,0,FALSE,FALSE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,N/A,Harp,FALSE,FALSE,1,FALSE,1
,Cave Air,cave_air,1.13 18w06a,530,FALSE,FALSE,FALSE,Yes,Yes,FALSE,FALSE,FALSE,FALSE,No,Yes,No,TRUE,0,0,0,None,0,FALSE,FALSE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,N/A,Harp,FALSE,FALSE,1,FALSE,2
,Void Air,void_air,1.13 18w06a,531,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,No,Yes,No,TRUE,0,0,0,None,0,FALSE,FALSE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,FALSE,FALSE,N/A,Harp,FALSE,FALSE,1,FALSE,3
,Cobblestone,cobblestone,Pre-Classic rd-20090515,4,FALSE,FALSE,FALSE,Yes,Yes,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,4
,Cobblestone Slab,cobblestone_slab,Beta 1.3,99,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Depends,Depends,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,2,TRUE,5
,Cobblestone Stairs,cobblestone_stairs,Infdev 20100629,63,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Depends,Depends,Depends,TRUE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directional,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,8,TRUE,6
,Cobblestone Wall,cobblestone_wall,1.4.2 12w34a,183,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,No,No,No,TRUE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fully,FALSE,TRUE,TRUE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,TRUE,7
,Infested Cobblestone,infested_cobblestone,Beta 1.8 Pre-Release,118,FALSE,FALSE,FALSE,Yes,Yes,FALSE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,0.75,1,Pickaxe,0,FALSE,FALSE,FALSE,TRUE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Harp,FALSE,FALSE,1,FALSE,8
,Mossy Cobblestone,mossy_cobblestone,Classic 0.26 Survival Test,41,FALSE,FALSE,FALSE,Yes,Yes,TRUE,TRUE,TRUE,FALSE,Yes,No,Yes,FALSE,0,6,2,Pickaxe,0,FALSE,TRUE,TRUE,FALSE,No,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Yes,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,FALSE,100%,Base Drum,FALSE,FALSE,1,FALSE,9
