,,,,,,,,
Enchantment Name,Enchantment ID,Version Added,Order Added,Max Level,Treasure,Sold by Villagers,Weight,
,,,,,,,,
43,,,,,7/43,40/43,,0
Mending,mending,1.9 15w42a,26,1,TRUE,TRUE,2,1
Unbreaking,unbreaking,1.0.0 Beta 1.9 Prerelease 3,1,3,FALSE,TRUE,5,2
Protection,protection,1.0.0 Beta 1.9 Prerelease 3,2,4,FALSE,TRUE,10,3
Blast Protection,blast_protection,1.0.0 Beta 1.9 Prerelease 3,3,4,FALSE,TRUE,2,4
Fire Protection,fire_protection,1.0.0 Beta 1.9 Prerelease 3,4,4,FALSE,TRUE,5,5
Projectile Protection,projectile_protection,1.0.0 Beta 1.9 Prerelease 3,5,4,FALSE,TRUE,5,6
Thorns,thorns,1.4.6 12w50a,22,3,FALSE,TRUE,1,7
Respiration,respiration,1.0.0 Beta 1.9 Prerelease 3,6,3,FALSE,TRUE,2,8
Aqua Affinity,aqua_affinity,1.0.0 Beta 1.9 Prerelease 3,7,1,FALSE,TRUE,2,9
Swift Sneak,swift_sneak,1.19 Experimental Snapshot 1,39,3,TRUE,FALSE,1,10
Feather Falling,feather_falling,1.0.0 Beta 1.9 Prerelease 3,8,4,FALSE,TRUE,5,11
Soul Speed,soul_speed,1.16 20w11a,38,3,TRUE,FALSE,1,12
Depth Strider,depth_strider,1.8 14w25a,25,3,FALSE,TRUE,2,13
Frost Walker,frost_walker,1.9 15w42a,27,2,TRUE,TRUE,2,14
Sharpness,sharpness,1.0.0 Beta 1.9 Prerelease 3,9,5,FALSE,TRUE,10,15
Smite,smite,1.0.0 Beta 1.9 Prerelease 3,10,5,FALSE,TRUE,5,16
Bane of Arthropods,bane_of_arthropods,1.0.0 Beta 1.9 Prerelease 3,11,5,FALSE,TRUE,5,17
Looting,looting,1.0.0 Beta 1.9 Prerelease 3,12,3,FALSE,TRUE,2,18
Sweeping Edge,sweeping_edge,1.11.1 16w50a,30,3,FALSE,TRUE,2,19
Fire Aspect,fire_aspect,1.0.0 Beta 1.9 Prerelease 3,13,2,FALSE,TRUE,2,20
Knockback,knockback,1.0.0 Beta 1.9 Prerelease 3,14,2,FALSE,TRUE,5,21
Lunge,lunge,1.21.11 25w41a,43,3,FALSE,TRUE,5,22
Efficiency,efficiency,1.0.0 Beta 1.9 Prerelease 3,15,5,FALSE,TRUE,10,23
Fortune,fortune,1.0.0 Beta 1.9 Prerelease 3,16,3,FALSE,TRUE,2,24
Silk Touch,silk_touch,1.0.0 Beta 1.9 Prerelease 3,17,1,FALSE,TRUE,1,25
Power,power,1.1,18,5,FALSE,TRUE,10,26
Punch,punch,1.1,19,2,FALSE,TRUE,2,27
Flame,flame,1.1,20,1,FALSE,TRUE,2,28
Infinity,infinity,1.1,21,1,FALSE,TRUE,1,29
Piercing,piercing,1.14 18w43a,35,4,FALSE,TRUE,10,30
Quick Charge,quick_charge,1.14 18w43a,36,3,FALSE,TRUE,5,31
Multishot,multishot,1.14 18w43a,37,1,FALSE,TRUE,2,32
Impaling,impaling,1.13 18w07a,31,5,FALSE,TRUE,2,33
Riptide,riptide,1.13 18w07a,32,3,FALSE,TRUE,2,34
Loyalty,loyalty,1.13 18w07a,33,3,FALSE,TRUE,5,35
Channeling,channeling,1.13 18w07a,34,1,FALSE,TRUE,1,36
Density,density,1.21 Experimental 24w13a,40,5,FALSE,TRUE,5,37
Breach,breach,1.21 Experimental 24w13a,41,4,FALSE,TRUE,2,38
Wind Burst,wind_burst,1.21 Experimental 24w13a,42,3,TRUE,FALSE,2,39
Luck of the Sea,luck_of_the_sea,1.7.2 13w36a,23,3,FALSE,TRUE,2,40
Lure,lure,1.7.2 13w36a,24,3,FALSE,TRUE,2,41
Curse of Binding,binding_curse,1.11 16w39a,28,1,TRUE,TRUE,1,42
Curse of Vanishing,vanishing_curse,1.11 16w39a,29,1,TRUE,TRUE,1,43
