,,,,,,,,,,,
Entity,Entity Name,Entity ID,Version Added,Order Added,Creative Only,OP Only,Commands Only,Renewable,Infinitely Automatically Farmable,,
,,,,,,,,,Any Method,Player Interactions Required,
157,,,,,10/157,10/157,9/157,145/157,139/157,37/157,0
,Player,player,Pre-Classic Cave Game Tech Test,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
,Chicken,chicken,Alpha v1.0.14,18,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2
,Pig,pig,Classic 0.24 Survival Test,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3
,Goat,goat,1.17 21w13a,118,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4
,Sheep,sheep,Classic 0.28,10,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5
,Cow,cow,Alpha v1.0.8,16,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6
,Mooshroom,mooshroom,1.0.0 Beta 1.9 Prerelease,33,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,7
,Horse,horse,1.6.1 13w16a,60,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8
,Donkey,donkey,1.6.1 13w16a,61,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,9
,Mule,mule,1.6.1 13w16a,62,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,10
,Skeleton Horse,skeleton_horse,1.6.1 13w16a,63,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,11
,Zombie Horse,zombie_horse,1.6.1 13w16a,64,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12
,Llama,llama,1.11 16w39a,86,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,13
,Trader Llama,trader_llama,1.14 19w05a,106,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,14
,Camel,camel,1.20 Experimental 22w42a,132,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,15
,Camel Husk,camel_husk,1.21.11 25w44a,156,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,16
,Armadillo,armadillo,1.20.5 23w51a,142,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,17
,Rabbit,rabbit,1.8 14w27a,70,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,18
,Fox,fox,1.14 19w07a,108,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,19
,Ocelot,ocelot,1.2.1 12w04a,45,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,20
,Cat,cat,1.2.1 12w04a,46,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,21
,Wolf,wolf,Beta 1.4,27,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,22
,Polar Bear,polar_bear,1.10 16w20a,83,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,23
,Panda,panda,1.14 18w43a,103,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24
,Sniffer,sniffer,1.20 Experimental 23w07a,138,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,25
,Turtle,turtle,1.13 18w07a,94,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,26
,Frog,frog,1.19 22w11a,121,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,27
,Tadpole,tadpole,1.19 22w11a,122,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,28
,Axolotl,axolotl,1.17 20w51a,115,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,29
,Dolphin,dolphin,1.13 18w15a,102,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,30
,Cod,cod,1.13 18w08b,97,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,31
,Salmon,salmon,1.13 18w08b,98,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,32
,Tropical Fish,tropical_fish,1.13 18w10a,100,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,33
,Pufferfish,pufferfish,1.13 18w08b,99,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,34
,Nautilus,nautilus,1.21.11 25w41a,154,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,35
,Zombie Nautilus,zombie_nautilus,1.21.11 25w41a,155,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,36
,Squid,squid,Beta 1.2,26,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,37
,Glow Squid,glow_squid,1.17 21w03a,116,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,38
,Bee,bee,1.15 19w34a,109,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,39
,Parrot,parrot,1.12 17w13a,92,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,40
,Bat,bat,1.4.2 12w38a,54,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,41
,Allay,allay,1.19 22w13a,131,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,42
,Snow Golem,snow_golem,1.0.0 Beta 1.9 Prerelease,34,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,43
,Copper Golem,copper_golem,1.21.9 25w31a,152,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,44
,Iron Golem,iron_golem,1.2.1 12w08a,48,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,45
,Villager,villager,1.0.0 Beta 1.9 Prerelease,35,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,46
,Wandering Trader,wandering_trader,1.14 19w05a,107,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,47
,Zombie,zombie,Classic 0.24 Survival Test,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,48
,Zombie Villager,zombie_villager,1.4.2 12w32a,49,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,49
,Husk,husk,1.10 16w20a,84,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,50
,Drowned,drowned,1.13 18w11a,101,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,51
,Giant,giant,Indev 0.31 20100205,11,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,52
,Skeleton,skeleton,Classic 0.24 Survival Test,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,53
,Parched,parched,1.21.11 25w44a,157,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,54
,Stray,stray,1.10 16w20a,85,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,55
,Bogged,bogged,1.21 Experimental 23w45a,143,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,56
,Creeper,creeper,Classic 0.24 Survival Test,5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,57
,Spider,spider,Classic 0.26 Survival Test,8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,58
