,,,,,,,,,,
Painting,Painting Name,Painting ID,Version Added,Order Added,OP Only,Area,Width,Height,Artist,
,,,,,,,,,,
51,,,,,4/51,,,,,0
,Albanian,alban,Indev 2010223,1,FALSE,1,1,1,Kristoffer Zetterstrand,1
,de_aztec,aztec,Indev 2010223,2,FALSE,1,1,1,Kristoffer Zetterstrand,2
,de_aztec,aztec2,Indev 2010223,3,FALSE,1,1,1,Kristoffer Zetterstrand,3
,Kebab med tre pepperoni,kebab,Indev 2010223,4,FALSE,1,1,1,Kristoffer Zetterstrand,4
,Meditative,meditative,1.21 24w18a,31,FALSE,1,1,1,Sarah Boeving,5
,Paradisträd,plant,Indev 2010223,5,FALSE,1,1,1,Kristoffer Zetterstrand,6
,Target Successfully Bombed,bomb,Indev 2010223,6,FALSE,1,1,1,Kristoffer Zetterstrand,7
,Wasteland,wasteland,Indev 2010223,7,FALSE,1,1,1,Kristoffer Zetterstrand,8
,Graham,graham,Alpha v1.1.1,20,FALSE,2,1,2,Kristoffer Zetterstrand,9
,Prairie Ride,prairie_ride,1.21 24w18a,32,FALSE,2,1,2,Sarah Boeving,10
,Wanderer,wanderer,Indev 2010223,8,FALSE,2,1,2,Kristoffer Zetterstrand,11
,Bonjour Monsieur Courbet,courbet,Indev 2010223,9,FALSE,2,2,1,Kristoffer Zetterstrand,12
,Creebet,creebet,Alpha v1.1.1,21,FALSE,2,2,1,Kristoffer Zetterstrand,13
,Seaside,sea,Indev 2010223,10,FALSE,2,2,1,Kristoffer Zetterstrand,14
,sunset_dense,sunset,Indev 2010223,11,FALSE,2,2,1,Kristoffer Zetterstrand,15
,The Pool,pool,Indev 2010223,12,FALSE,2,2,1,Kristoffer Zetterstrand,16
,Baroque,baroque,1.21 24w18a,33,FALSE,4,2,2,Sarah Boeving,17
,Bust,bust,Indev 2010223,13,FALSE,4,2,2,Kristoffer Zetterstrand,18
,Earth,earth,1.19 22w16a,27,TRUE,4,2,2,Mojang,19
,Fire,fire,1.19 22w16a,28,TRUE,4,2,2,Mojang,20
,Humble,humble,1.21 24w18a,34,FALSE,4,2,2,Sarah Boeving,21
,Match,match,Indev 2010223,14,FALSE,4,2,2,Kristoffer Zetterstrand,22
,Skull and Roses,skull_and_roses,Indev 2010223,15,FALSE,4,2,2,Kristoffer Zetterstrand,23
,The Stage Is Set,stage,Indev 2010223,16,FALSE,4,2,2,Kristoffer Zetterstrand,24
,The void,void,Indev 2010223,17,FALSE,4,2,2,Kristoffer Zetterstrand,25
,Water,water,1.19 22w16a,29,TRUE,4,2,2,Mojang,26
,Wind,wind,1.19 22w16a,30,TRUE,4,2,2,Mojang,27
,Wither,wither,1.4.2 12w36a,26,FALSE,4,2,2,Mojang,28
,Bouquet,bouquet,1.21 24w18a,35,FALSE,9,3,3,Kristoffer Zetterstrand,29
,Cavebird,cavebird,1.21 24w18a,36,FALSE,9,3,3,Kristoffer Zetterstrand,30
,Cotán,cotan,1.21 24w18a,37,FALSE,9,3,3,Kristoffer Zetterstrand,31
,Dennis,dennis,1.21.7 Release Candidate 1,51,FALSE,9,3,3,Sarah Boeving,32
,Endboss,endboss,1.21 24w18a,38,FALSE,9,3,3,Kristoffer Zetterstrand,33
,Fern,fern,1.21 24w18a,39,FALSE,9,3,3,Kristoffer Zetterstrand,34
,Owlemons,owlemons,1.21 24w18a,40,FALSE,9,3,3,Kristoffer Zetterstrand,35
,Sunflowers,sunflowers,1.21 24w18a,41,FALSE,9,3,3,Kristoffer Zetterstrand,36
,Tides,tides,1.21 24w18a,42,FALSE,9,3,3,Kristoffer Zetterstrand,37
,Backyard,backyard,1.21 24w18a,43,FALSE,12,3,4,Kristoffer Zetterstrand,38
,Pond,pond,1.21 24w18a,44,FALSE,12,3,4,Kristoffer Zetterstrand,39
,Changing,changing,1.21 24w18a,45,FALSE,8,4,2,Kristoffer Zetterstrand,40
,Fighters,fighters,Indev 2010223,18,FALSE,8,4,2,Kristoffer Zetterstrand,41
,Finding,finding,1.21 24w18a,46,FALSE,8,4,2,Kristoffer Zetterstrand,42
,Lowmist,lowmist,1.21 24w18a,47,FALSE,8,4,2,Kristoffer Zetterstrand,43
,Passage,passage,1.21 24w18a,48,FALSE,8,4,2,Kristoffer Zetterstrand,44
,Kong,donkey_kong,Alpha v1.1.1,22,FALSE,12,4,3,Kristoffer Zetterstrand,45
,Mortal Coil,skeleton,Alpha v1.1.1,23,FALSE,12,4,3,Kristoffer Zetterstrand,46
,Orb,orb,1.21 24w18a,49,FALSE,16,4,4,Kristoffer Zetterstrand,47
,Pigscene,pigscene,Alpha v1.1.1,24,FALSE,16,4,4,Kristoffer Zetterstrand,48
,Pointer,pointer,Indev 2010223,19,FALSE,16,4,4,Kristoffer Zetterstrand,49
,Skull On Fire,burning_skull,Beta 1.3,25,FALSE,16,4,4,Kristoffer Zetterstrand,50
,Unpacked,unpacked,1.21 24w18a,50,FALSE,16,4,4,Sarah Boeving,51
